Source,Target,Weight
aereo,sottile,1
sottile,tutto,1
alto,sottile,2
profondo,sotterraneo,2
profondo,terra,1
lungo,profondo,3
buco,profondo,2
profondo,verticale,1
perimetro,profondo,1
profondo,verdeggiante,1
buio,profondo,1
profondo,sepolto,1
paesaggio,profondo,1
invisibile,profondo,1
profondo,visibile,1
profondo,sole,1
calcareo,profondo,1
profondo,secondo,1
profondità,profondo,1
nero,profondo,2
profondo,vena,1
profondo,sotterrraneo,1
fuori,profondo,1
castello,profondo,1
profondo,traliccio,1
cima,profondo,1
arco,profondo,1
acquedotto,profondo,1
colonna,profondo,1
aereo,profondo,1
profondo,tutto,1
alto,profondo,2
sotterraneo,terra,1
lungo,sotterraneo,4
buco,sotterraneo,2
sotterraneo,verticale,2
perimetro,sotterraneo,1
sotterraneo,verdeggiante,1
buio,sotterraneo,2
sepolto,sotterraneo,1
paesaggio,sotterraneo,1
invisibile,sotterraneo,2
sotterraneo,visibile,1
sole,sotterraneo,2
calcareo,sotterraneo,1
secondo,sotterraneo,1
profondità,sotterraneo,1
nero,sotterraneo,2
sotterraneo,vena,2
sotterraneo,sotterrraneo,1
fuori,sotterraneo,1
castello,sotterraneo,1
sotterraneo,traliccio,1
cima,sotterraneo,1
arco,sotterraneo,1
acquedotto,sotterraneo,1
colonna,sotterraneo,1
aereo,sotterraneo,1
sotterraneo,tutto,1
alto,sotterraneo,3
lungo,terra,3
buco,terra,1
terra,verticale,1
perimetro,terra,1
terra,verdeggiante,1
buio,terra,2
sepolto,terra,1
paesaggio,terra,1
invisibile,terra,1
terra,visibile,1
sole,terra,1
calcareo,terra,1
secondo,terra,1
profondità,terra,1
nero,terra,2
terra,vena,2
sotterrraneo,terra,1
fuori,terra,5
castello,terra,1
terra,traliccio,1
cima,terra,2
arco,terra,1
acquedotto,terra,1
colonna,terra,1
aereo,terra,1
terra,tutto,1
alto,terra,2
buco,lungo,2
lungo,verticale,2
lungo,perimetro,1
lungo,verdeggiante,1
buio,lungo,2
lungo,sepolto,1
lungo,paesaggio,1
invisibile,lungo,2
lungo,visibile,1
lungo,sole,2
calcareo,lungo,1
lungo,secondo,2
lungo,profondità,1
lungo,nero,2
lungo,vena,2
lungo,sotterrraneo,1
fuori,lungo,5
castello,lungo,1
lungo,traliccio,2
cima,lungo,2
arco,lungo,1
acquedotto,lungo,1
colonna,lungo,1
aereo,lungo,1
lungo,tutto,2
alto,lungo,5
buco,verticale,1
buco,perimetro,1
buco,verdeggiante,1
buco,buio,2
buco,sepolto,1
buco,paesaggio,1
buco,invisibile,1
buco,visibile,1
buco,sole,1
buco,calcareo,1
buco,secondo,1
buco,profondità,1
buco,nero,4
buco,vena,1
buco,sotterrraneo,1
buco,fuori,1
buco,castello,1
buco,traliccio,1
buco,cima,1
arco,buco,1
acquedotto,buco,1
buco,colonna,1
aereo,buco,1
buco,tutto,1
alto,buco,1
perimetro,verticale,1
verdeggiante,verticale,1
buio,verticale,1
sepolto,verticale,1
paesaggio,verticale,1
invisibile,verticale,1
verticale,visibile,1
sole,verticale,2
calcareo,verticale,1
secondo,verticale,2
profondità,verticale,1
nero,verticale,1
vena,verticale,2
sotterrraneo,verticale,1
fuori,verticale,1
castello,verticale,1
traliccio,verticale,1
cima,verticale,1
arco,verticale,1
acquedotto,verticale,1
colonna,verticale,1
aereo,verticale,1
tutto,verticale,1
alto,verticale,2
perimetro,verdeggiante,1
buio,perimetro,1
perimetro,sepolto,1
paesaggio,perimetro,1
invisibile,perimetro,1
perimetro,visibile,1
perimetro,sole,1
calcareo,perimetro,1
perimetro,secondo,1
perimetro,profondità,1
nero,perimetro,1
perimetro,vena,1
perimetro,sotterrraneo,1
fuori,perimetro,3
castello,perimetro,1
perimetro,traliccio,1
cima,perimetro,1
arco,perimetro,1
acquedotto,perimetro,1
colonna,perimetro,1
aereo,perimetro,1
perimetro,tutto,1
alto,perimetro,1
buio,verdeggiante,1
sepolto,verdeggiante,1
paesaggio,verdeggiante,1
invisibile,verdeggiante,1
verdeggiante,visibile,1
sole,verdeggiante,1
calcareo,verdeggiante,1
secondo,verdeggiante,1
profondità,verdeggiante,1
nero,verdeggiante,1
vena,verdeggiante,1
sotterrraneo,verdeggiante,1
fuori,verdeggiante,1
castello,verdeggiante,1
traliccio,verdeggiante,1
cima,verdeggiante,1
arco,verdeggiante,1
acquedotto,verdeggiante,1
colonna,verdeggiante,1
aereo,verdeggiante,1
tutto,verdeggiante,1
alto,verdeggiante,1
buio,sepolto,1
buio,paesaggio,1
buio,invisibile,2
buio,visibile,1
buio,sole,1
buio,calcareo,1
buio,secondo,2
buio,profondità,1
buio,nero,2
buio,vena,1
buio,sotterrraneo,1
buio,fuori,1
buio,castello,1
buio,traliccio,1
buio,cima,1
arco,buio,1
acquedotto,buio,1
buio,colonna,1
aereo,buio,1
buio,tutto,1
alto,buio,3
paesaggio,sepolto,1
invisibile,sepolto,2
sepolto,visibile,1
sepolto,sole,2
calcareo,sepolto,1
secondo,sepolto,2
profondità,sepolto,1
nero,sepolto,1
sepolto,vena,1
sepolto,sotterrraneo,1
fuori,sepolto,2
castello,sepolto,1
sepolto,traliccio,1
cima,sepolto,1
arco,sepolto,1
acquedotto,sepolto,1
colonna,sepolto,1
aereo,sepolto,1
sepolto,tutto,1
alto,sepolto,1
invisibile,paesaggio,1
paesaggio,visibile,1
paesaggio,sole,1
calcareo,paesaggio,1
paesaggio,secondo,1
paesaggio,profondità,1
nero,paesaggio,1
paesaggio,vena,1
paesaggio,sotterrraneo,1
fuori,paesaggio,1
castello,paesaggio,1
paesaggio,traliccio,1
cima,paesaggio,1
arco,paesaggio,1
acquedotto,paesaggio,1
colonna,paesaggio,1
aereo,paesaggio,1
paesaggio,tutto,1
alto,paesaggio,1
invisibile,visibile,1
invisibile,sole,2
calcareo,invisibile,1
invisibile,secondo,2
invisibile,profondità,1
invisibile,nero,1
invisibile,vena,1
invisibile,sotterrraneo,1
fuori,invisibile,3
castello,invisibile,1
invisibile,traliccio,1
cima,invisibile,2
arco,invisibile,1
acquedotto,invisibile,1
colonna,invisibile,2
aereo,invisibile,1
invisibile,tutto,1
alto,invisibile,3
sole,visibile,1
calcareo,visibile,1
secondo,visibile,1
profondità,visibile,1
nero,visibile,1
vena,visibile,1
sotterrraneo,visibile,1
fuori,visibile,1
castello,visibile,1
traliccio,visibile,1
cima,visibile,1
arco,visibile,1
acquedotto,visibile,1
colonna,visibile,1
aereo,visibile,1
tutto,visibile,1
alto,visibile,1
calcareo,sole,1
secondo,sole,2
profondità,sole,1
nero,sole,2
sole,vena,2
sole,sotterrraneo,1
fuori,sole,2
castello,sole,1
sole,traliccio,1
cima,sole,1
arco,sole,1
acquedotto,sole,1
colonna,sole,2
aereo,sole,1
sole,tutto,1
alto,sole,2
calcareo,secondo,1
calcareo,profondità,1
calcareo,nero,1
calcareo,vena,1
calcareo,sotterrraneo,1
calcareo,fuori,1
calcareo,castello,1
calcareo,traliccio,1
calcareo,cima,1
arco,calcareo,1
acquedotto,calcareo,1
calcareo,colonna,1
aereo,calcareo,1
calcareo,tutto,1
alto,calcareo,1
profondità,secondo,1
nero,secondo,2
secondo,vena,1
secondo,sotterrraneo,1
fuori,secondo,1
castello,secondo,1
secondo,traliccio,1
cima,secondo,1
arco,secondo,1
acquedotto,secondo,1
colonna,secondo,2
aereo,secondo,1
secondo,tutto,1
alto,secondo,3
nero,profondità,1
profondità,vena,1
profondità,sotterrraneo,1
fuori,profondità,1
castello,profondità,1
profondità,traliccio,1
cima,profondità,1
arco,profondità,1
acquedotto,profondità,1
colonna,profondità,1
aereo,profondità,1
profondità,tutto,1
alto,profondità,1
nero,vena,2
nero,sotterrraneo,1
fuori,nero,2
castello,nero,1
nero,traliccio,1
cima,nero,1
arco,nero,1
acquedotto,nero,1
colonna,nero,2
aereo,nero,1
nero,tutto,1
alto,nero,3
sotterrraneo,vena,1
fuori,vena,2
castello,vena,1
traliccio,vena,1
cima,vena,1
arco,vena,1
acquedotto,vena,1
colonna,vena,1
aereo,vena,1
tutto,vena,1
alto,vena,3
fuori,sotterrraneo,1
castello,sotterrraneo,1
sotterrraneo,traliccio,1
cima,sotterrraneo,1
arco,sotterrraneo,1
acquedotto,sotterrraneo,1
colonna,sotterrraneo,1
aereo,sotterrraneo,1
sotterrraneo,tutto,1
alto,sotterrraneo,1
castello,fuori,1
fuori,traliccio,1
cima,fuori,3
arco,fuori,1
acquedotto,fuori,1
colonna,fuori,2
aereo,fuori,1
fuori,tutto,3
alto,fuori,4
castello,traliccio,1
castello,cima,1
arco,castello,1
acquedotto,castello,1
castello,colonna,1
aereo,castello,1
castello,tutto,1
alto,castello,1
cima,traliccio,1
arco,traliccio,1
acquedotto,traliccio,1
colonna,traliccio,1
aereo,traliccio,1
traliccio,tutto,1
alto,traliccio,1
arco,cima,1
acquedotto,cima,1
cima,colonna,2
aereo,cima,1
cima,tutto,1
alto,cima,1
acquedotto,arco,1
arco,colonna,1
aereo,arco,1
arco,tutto,1
alto,arco,2
acquedotto,colonna,1
acquedotto,aereo,1
acquedotto,tutto,1
acquedotto,alto,1
aereo,colonna,1
colonna,tutto,1
alto,colonna,2
aereo,tutto,1
aereo,alto,1
alto,tutto,1
città,stesso,37
città,tempo,15
città,vecchio,12
città,illustrare,1
città,prima,25
città,identico,3
città,piazza,11
città,posto,20
chiosco,città,2
cavalcavia,città,1
bianco,città,12
città,fabbrica,1
città,presente,5
città,preciso,1
città,metropoli,6
città,provinciale,2
certo,città,4
città,grazia,2
città,perduto,2
città,diverso,19
città,incomunicabile,1
città,faccia,7
città,luogo,18
città,estraneo,4
città,vano,1
città,migliore,1
città,peggiore,1
città,rapporto,8
stesso,tempo,8
stesso,vecchio,6
illustrare,stesso,1
prima,stesso,7
identico,stesso,3
piazza,stesso,4
posto,stesso,13
chiosco,stesso,1
cavalcavia,stesso,1
bianco,stesso,2
fabbrica,stesso,1
presente,stesso,1
preciso,stesso,1
metropoli,stesso,4
provinciale,stesso,2
certo,stesso,2
grazia,stesso,1
perduto,stesso,2
stesso,vedere,11
diverso,stesso,10
incomunicabile,stesso,1
stesso,uguale,7
stesso,voce,2
faccia,stesso,3
luogo,stesso,8
estraneo,stesso,2
stesso,vano,1
migliore,stesso,1
peggiore,stesso,1
rapporto,stesso,2
altro,stesso,18
tempo,vecchio,3
illustrare,tempo,1
prima,tempo,7
identico,tempo,1
piazza,tempo,4
posto,tempo,9
chiosco,tempo,1
cavalcavia,tempo,1
bianco,tempo,3
fabbrica,tempo,1
presente,tempo,4
preciso,tempo,1
metropoli,tempo,3
provinciale,tempo,1
certo,tempo,3
grazia,tempo,1
perduto,tempo,1
tempo,vedere,7
diverso,tempo,8
incomunicabile,tempo,1
tempo,uguale,3
tempo,voce,2
faccia,tempo,1
luogo,tempo,5
estraneo,tempo,3
tempo,vano,1
migliore,tempo,1
peggiore,tempo,1
rapporto,tempo,5
altro,tempo,7
illustrare,vecchio,1
prima,vecchio,6
identico,vecchio,1
piazza,vecchio,2
posto,vecchio,7
chiosco,vecchio,2
cavalcavia,vecchio,1
bianco,vecchio,1
fabbrica,vecchio,1
presente,vecchio,2
preciso,vecchio,1
metropoli,vecchio,3
provinciale,vecchio,2
certo,vecchio,1
grazia,vecchio,1
perduto,vecchio,2
vecchio,vedere,5
diverso,vecchio,3
incomunicabile,vecchio,1
