Source,Target,Weight
bastione,fresco,1
fresco,infetto,1
fresco,vecchio,1
fresco,spagliato,1
fresco,spaiato,1
fresco,secco,1
fresco,limitrofo,1
fresco,mondo,1
fresco,sordido,1
fresco,montuoso,1
fresco,vicino,1
fresco,pronto,1
fresco,rullo,1
fresco,territorio,1
fiammante,nuovo,1
nuovo,perfezionato,1
intonso,nuovo,1
nuovo,ultimo,2
modello,nuovo,1
nuovo,schiacciato,1
fulminato,nuovo,1
nuovo,servizio,1
nuovo,posto,1
nuovo,vero,1
diverso,nuovo,1
nuovo,ricorrente,1
nuovo,silenzioso,1
fuori,nuovo,1
anno,nuovo,3
nuovo,perimetro,1
nuovo,vasto,1
arte,nuovo,1
nuovo,tempo,1
fortezza,nuovo,1
indistruttibile,nuovo,1
lato,nuovo,1
nuovo,passato,2
nuovo,solo,1
forma,nuovo,1
definitivo,nuovo,1
lustro,nuovo,1
nuovo,sterminato,1
immondezzaio,nuovo,2
estremo,nuovo,1
crinale,nuovo,1
intero,nuovo,1
confine,nuovo,2
centro,nuovo,1
metropoli,nuovo,2
ininterrotto,nuovo,1
estraneo,nuovo,1
nemico,nuovo,1
bastione,nuovo,1
infetto,nuovo,1
nuovo,vecchio,1
nuovo,spagliato,1
nuovo,spaiato,1
nuovo,secco,1
limitrofo,nuovo,1
mondo,nuovo,1
nuovo,sordido,1
montuoso,nuovo,1
nuovo,vicino,1
nuovo,pronto,1
nuovo,rullo,1
nuovo,territorio,1
fiammante,perfezionato,1
fiammante,intonso,1
fiammante,ultimo,1
fiammante,modello,1
fiammante,schiacciato,1
fiammante,fulminato,1
fiammante,servizio,1
fiammante,posto,1
fiammante,vero,1
diverso,fiammante,1
fiammante,ricorrente,1
fiammante,silenzioso,1
fiammante,fuori,1
anno,fiammante,1
fiammante,perimetro,1
fiammante,vasto,1
arte,fiammante,1
fiammante,tempo,1
fiammante,fortezza,1
fiammante,indistruttibile,1
fiammante,lato,1
fiammante,passato,1
fiammante,solo,1
fiammante,forma,1
definitivo,fiammante,1
fiammante,lustro,1
fiammante,sterminato,1
fiammante,immondezzaio,1
estremo,fiammante,1
crinale,fiammante,1
fiammante,intero,1
confine,fiammante,1
centro,fiammante,1
fiammante,metropoli,1
fiammante,ininterrotto,1
estraneo,fiammante,1
fiammante,nemico,1
bastione,fiammante,1
fiammante,infetto,1
fiammante,vecchio,1
fiammante,spagliato,1
fiammante,spaiato,1
fiammante,secco,1
fiammante,limitrofo,1
fiammante,mondo,1
fiammante,sordido,1
fiammante,montuoso,1
fiammante,vicino,1
fiammante,pronto,1
fiammante,rullo,1
fiammante,territorio,1
intonso,perfezionato,1
perfezionato,ultimo,1
modello,perfezionato,1
perfezionato,schiacciato,1
fulminato,perfezionato,1
perfezionato,servizio,1
perfezionato,posto,1
perfezionato,vero,1
diverso,perfezionato,1
perfezionato,ricorrente,1
perfezionato,silenzioso,1
fuori,perfezionato,1
anno,perfezionato,1
perfezionato,perimetro,1
perfezionato,vasto,1
arte,perfezionato,1
perfezionato,tempo,1
fortezza,perfezionato,1
indistruttibile,perfezionato,1
lato,perfezionato,1
passato,perfezionato,1
perfezionato,solo,1
forma,perfezionato,1
definitivo,perfezionato,1
lustro,perfezionato,1
perfezionato,sterminato,1
immondezzaio,perfezionato,1
estremo,perfezionato,1
crinale,perfezionato,1
intero,perfezionato,1
confine,perfezionato,1
centro,perfezionato,1
metropoli,perfezionato,1
ininterrotto,perfezionato,1
estraneo,perfezionato,1
nemico,perfezionato,1
bastione,perfezionato,1
infetto,perfezionato,1
perfezionato,vecchio,1
perfezionato,spagliato,1
perfezionato,spaiato,1
perfezionato,secco,1
limitrofo,perfezionato,1
mondo,perfezionato,1
perfezionato,sordido,1
montuoso,perfezionato,1
perfezionato,vicino,1
perfezionato,pronto,1
perfezionato,rullo,1
perfezionato,territorio,1
intonso,ultimo,1
intonso,modello,1
intonso,schiacciato,1
fulminato,intonso,1
intonso,servizio,1
intonso,posto,1
intonso,vero,1
diverso,intonso,1
intonso,ricorrente,1
intonso,silenzioso,1
fuori,intonso,1
anno,intonso,1
intonso,perimetro,1
intonso,vasto,1
arte,intonso,1
intonso,tempo,1
fortezza,intonso,1
indistruttibile,intonso,1
intonso,lato,1
intonso,passato,1
intonso,solo,1
forma,intonso,1
definitivo,intonso,1
intonso,lustro,1
intonso,sterminato,1
immondezzaio,intonso,1
estremo,intonso,1
crinale,intonso,1
intero,intonso,1
confine,intonso,1
centro,intonso,1
intonso,metropoli,1
ininterrotto,intonso,1
estraneo,intonso,1
intonso,nemico,1
bastione,intonso,1
infetto,intonso,1
intonso,vecchio,1
intonso,spagliato,1
intonso,spaiato,1
intonso,secco,1
intonso,limitrofo,1
intonso,mondo,1
intonso,sordido,1
intonso,montuoso,1
intonso,vicino,1
intonso,pronto,1
intonso,rullo,1
intonso,territorio,1
modello,ultimo,1
schiacciato,ultimo,1
fulminato,ultimo,1
servizio,ultimo,1
posto,ultimo,1
ultimo,vero,1
diverso,ultimo,1
ricorrente,ultimo,1
silenzioso,ultimo,1
fuori,ultimo,1
anno,ultimo,2
perimetro,ultimo,1
ultimo,vasto,1
arte,ultimo,1
tempo,ultimo,1
fortezza,ultimo,1
indistruttibile,ultimo,1
lato,ultimo,1
passato,ultimo,2
solo,ultimo,1
forma,ultimo,1
definitivo,ultimo,1
lustro,ultimo,1
sterminato,ultimo,1
immondezzaio,ultimo,2
estremo,ultimo,1
crinale,ultimo,1
intero,ultimo,1
confine,ultimo,2
centro,ultimo,1
metropoli,ultimo,2
ininterrotto,ultimo,1
estraneo,ultimo,1
nemico,ultimo,1
bastione,ultimo,1
infetto,ultimo,1
ultimo,vecchio,1
spagliato,ultimo,1
spaiato,ultimo,1
secco,ultimo,1
limitrofo,ultimo,1
mondo,ultimo,1
sordido,ultimo,1
montuoso,ultimo,1
ultimo,vicino,1
pronto,ultimo,1
rullo,ultimo,1
territorio,ultimo,1
modello,schiacciato,1
fulminato,modello,1
modello,servizio,1
modello,posto,1
modello,vero,1
diverso,modello,1
modello,ricorrente,1
modello,silenzioso,1
fuori,modello,1
anno,modello,1
modello,perimetro,1
modello,vasto,1
arte,modello,1
modello,tempo,1
fortezza,modello,1
indistruttibile,modello,1
lato,modello,1
modello,passato,1
modello,solo,1
forma,modello,1
definitivo,modello,1
lustro,modello,1
modello,sterminato,1
immondezzaio,modello,1
estremo,modello,1
crinale,modello,1
intero,modello,1
confine,modello,1
centro,modello,1
metropoli,modello,1
ininterrotto,modello,1
estraneo,modello,1
modello,nemico,1
bastione,modello,1
infetto,modello,1
modello,vecchio,1
modello,spagliato,1
modello,spaiato,1
modello,secco,1
limitrofo,modello,1
modello,mondo,1
modello,sordido,1
modello,montuoso,1
modello,vicino,1
modello,pronto,1
modello,rullo,1
modello,territorio,1
fulminato,schiacciato,1
schiacciato,servizio,1
posto,schiacciato,1
schiacciato,vero,1
diverso,schiacciato,1
ricorrente,schiacciato,1
schiacciato,silenzioso,1
fuori,schiacciato,1
anno,schiacciato,1
perimetro,schiacciato,1
schiacciato,vasto,1
arte,schiacciato,1
schiacciato,tempo,1
fortezza,schiacciato,1
indistruttibile,schiacciato,1
lato,schiacciato,1
passato,schiacciato,1
schiacciato,solo,1
forma,schiacciato,1
definitivo,schiacciato,1
lustro,schiacciato,1
schiacciato,sterminato,1
immondezzaio,schiacciato,1
estremo,schiacciato,1
crinale,schiacciato,1
intero,schiacciato,1
confine,schiacciato,1
centro,schiacciato,1
metropoli,schiacciato,1
ininterrotto,schiacciato,1
estraneo,schiacciato,1
nemico,schiacciato,1
bastione,schiacciato,1
infetto,schiacciato,1
schiacciato,vecchio,1
schiacciato,spagliato,1
schiacciato,spaiato,1
schiacciato,secco,1
limitrofo,schiacciato,1
mondo,schiacciato,1
schiacciato,sordido,1
montuoso,schiacciato,1
schiacciato,vicino,1
pronto,schiacciato,1
rullo,schiacciato,1
schiacciato,territorio,1
fulminato,servizio,1
fulminato,posto,1
fulminato,vero,1
diverso,fulminato,1
fulminato,ricorrente,1
fulminato,silenzioso,1
fulminato,fuori,1
anno,fulminato,1
fulminato,perimetro,1
fulminato,vasto,1
arte,fulminato,1
fulminato,tempo,1
fortezza,fulminato,1
fulminato,indistruttibile,1
fulminato,lato,1
fulminato,passato,1
fulminato,solo,1
forma,fulminato,1
definitivo,fulminato,1
fulminato,lustro,1
fulminato,sterminato,1
fulminato,immondezzaio,1
estremo,fulminato,1
crinale,fulminato,1
fulminato,intero,1
confine,fulminato,1
centro,fulminato,1
fulminato,metropoli,1
fulminato,ininterrotto,1
estraneo,fulminato,1
fulminato,nemico,1
bastione,fulminato,1
fulminato,infetto,1
fulminato,vecchio,1
fulminato,spagliato,1
fulminato,spaiato,1
fulminato,secco,1
fulminato,limitrofo,1
fulminato,mondo,1
fulminato,sordido,1
fulminato,montuoso,1
fulminato,vicino,1
fulminato,pronto,1
fulminato,rullo,1
fulminato,territorio,1
posto,servizio,1
servizio,vero,1
diverso,servizio,1
