Source,Target,Weight
altro,stesso,1
tempo,vecchio,1
illustrare,tempo,1
prima,tempo,1
identico,tempo,1
piazza,tempo,1
posto,tempo,1
chiosco,tempo,1
cavalcavia,tempo,1
bianco,tempo,1
fabbrica,tempo,1
presente,tempo,1
preciso,tempo,1
metropoli,tempo,1
provinciale,tempo,1
certo,tempo,1
grazia,tempo,1
perduto,tempo,1
tempo,vedere,1
diverso,tempo,1
incomunicabile,tempo,1
tempo,uguale,1
tempo,voce,1
faccia,tempo,1
luogo,tempo,1
estraneo,tempo,1
tempo,vano,1
migliore,tempo,1
peggiore,tempo,1
rapporto,tempo,1
altro,tempo,1
illustrare,vecchio,1
prima,vecchio,2
identico,vecchio,1
piazza,vecchio,1
posto,vecchio,4
chiosco,vecchio,1
cavalcavia,vecchio,1
bianco,vecchio,1
fabbrica,vecchio,1
presente,vecchio,1
preciso,vecchio,1
metropoli,vecchio,2
provinciale,vecchio,2
certo,vecchio,1
grazia,vecchio,1
perduto,vecchio,1
vecchio,vedere,1
diverso,vecchio,1
incomunicabile,vecchio,1
uguale,vecchio,1
vecchio,voce,1
faccia,vecchio,1
luogo,vecchio,1
estraneo,vecchio,1
vano,vecchio,1
migliore,vecchio,1
peggiore,vecchio,1
rapporto,vecchio,1
altro,vecchio,1
illustrare,prima,1
identico,illustrare,1
illustrare,piazza,1
illustrare,posto,1
chiosco,illustrare,1
cavalcavia,illustrare,1
bianco,illustrare,1
fabbrica,illustrare,1
illustrare,presente,1
illustrare,preciso,1
illustrare,metropoli,1
illustrare,provinciale,1
certo,illustrare,1
grazia,illustrare,1
illustrare,perduto,1
illustrare,vedere,1
diverso,illustrare,1
illustrare,incomunicabile,1
illustrare,uguale,1
illustrare,voce,1
faccia,illustrare,1
illustrare,luogo,1
estraneo,illustrare,1
illustrare,vano,1
illustrare,migliore,1
illustrare,peggiore,1
illustrare,rapporto,1
altro,illustrare,1
identico,prima,1
piazza,prima,1
posto,prima,2
chiosco,prima,1
cavalcavia,prima,1
bianco,prima,1
fabbrica,prima,1
presente,prima,1
preciso,prima,1
metropoli,prima,2
prima,provinciale,2
certo,prima,1
grazia,prima,1
perduto,prima,1
prima,vedere,1
diverso,prima,1
incomunicabile,prima,1
prima,uguale,1
prima,voce,1
faccia,prima,1
luogo,prima,1
estraneo,prima,1
prima,vano,1
migliore,prima,1
peggiore,prima,1
prima,rapporto,1
altro,prima,1
identico,piazza,1
identico,posto,1
chiosco,identico,1
cavalcavia,identico,1
bianco,identico,1
fabbrica,identico,1
identico,presente,1
identico,preciso,1
identico,metropoli,1
identico,provinciale,1
certo,identico,1
grazia,identico,1
identico,perduto,1
identico,vedere,1
diverso,identico,1
identico,incomunicabile,1
identico,uguale,1
identico,voce,1
faccia,identico,1
identico,luogo,1
estraneo,identico,1
identico,vano,1
identico,migliore,1
identico,peggiore,1
identico,rapporto,1
altro,identico,1
piazza,posto,1
chiosco,piazza,1
cavalcavia,piazza,1
bianco,piazza,1
fabbrica,piazza,1
piazza,presente,1
piazza,preciso,1
metropoli,piazza,1
piazza,provinciale,1
certo,piazza,1
grazia,piazza,1
perduto,piazza,1
piazza,vedere,1
diverso,piazza,1
incomunicabile,piazza,1
piazza,uguale,1
piazza,voce,1
faccia,piazza,1
luogo,piazza,1
estraneo,piazza,1
piazza,vano,1
migliore,piazza,1
peggiore,piazza,1
piazza,rapporto,1
altro,piazza,1
chiosco,posto,1
cavalcavia,posto,1
bianco,posto,1
fabbrica,posto,1
posto,presente,1
posto,preciso,1
metropoli,posto,2
posto,provinciale,2
certo,posto,1
grazia,posto,1
perduto,posto,1
posto,vedere,1
diverso,posto,1
incomunicabile,posto,1
posto,uguale,1
posto,voce,1
faccia,posto,1
luogo,posto,1
estraneo,posto,1
posto,vano,1
migliore,posto,1
peggiore,posto,1
posto,rapporto,1
altro,posto,1
cavalcavia,chiosco,1
bianco,chiosco,1
chiosco,fabbrica,1
chiosco,presente,1
chiosco,preciso,1
chiosco,metropoli,1
chiosco,provinciale,1
certo,chiosco,1
chiosco,grazia,1
chiosco,perduto,1
chiosco,vedere,1
chiosco,diverso,1
chiosco,incomunicabile,1
chiosco,uguale,1
chiosco,voce,1
chiosco,faccia,1
chiosco,luogo,1
chiosco,estraneo,1
chiosco,vano,1
chiosco,migliore,1
chiosco,peggiore,1
chiosco,rapporto,1
altro,chiosco,1
bianco,cavalcavia,1
cavalcavia,fabbrica,1
cavalcavia,presente,1
cavalcavia,preciso,1
cavalcavia,metropoli,1
cavalcavia,provinciale,1
cavalcavia,certo,1
cavalcavia,grazia,1
cavalcavia,perduto,1
cavalcavia,vedere,1
cavalcavia,diverso,1
cavalcavia,incomunicabile,1
cavalcavia,uguale,1
cavalcavia,voce,1
cavalcavia,faccia,1
cavalcavia,luogo,1
cavalcavia,estraneo,1
cavalcavia,vano,1
cavalcavia,migliore,1
cavalcavia,peggiore,1
cavalcavia,rapporto,1
altro,cavalcavia,1
bianco,fabbrica,1
bianco,presente,1
bianco,preciso,1
bianco,metropoli,1
bianco,provinciale,1
bianco,certo,1
bianco,grazia,1
bianco,perduto,1
bianco,vedere,1
bianco,diverso,1
bianco,incomunicabile,1
bianco,uguale,1
bianco,voce,1
bianco,faccia,1
bianco,luogo,1
bianco,estraneo,1
bianco,vano,1
bianco,migliore,1
bianco,peggiore,1
bianco,rapporto,1
altro,bianco,1
fabbrica,presente,1
fabbrica,preciso,1
fabbrica,metropoli,1
fabbrica,provinciale,1
certo,fabbrica,1
fabbrica,grazia,1
fabbrica,perduto,1
fabbrica,vedere,1
diverso,fabbrica,1
fabbrica,incomunicabile,1
fabbrica,uguale,1
fabbrica,voce,1
fabbrica,faccia,1
fabbrica,luogo,1
estraneo,fabbrica,1
fabbrica,vano,1
fabbrica,migliore,1
fabbrica,peggiore,1
fabbrica,rapporto,1
altro,fabbrica,1
preciso,presente,1
metropoli,presente,1
presente,provinciale,1
certo,presente,1
grazia,presente,1
perduto,presente,1
presente,vedere,1
diverso,presente,1
incomunicabile,presente,1
presente,uguale,1
presente,voce,1
faccia,presente,1
luogo,presente,1
estraneo,presente,1
presente,vano,1
migliore,presente,1
peggiore,presente,1
presente,rapporto,1
altro,presente,1
metropoli,preciso,1
preciso,provinciale,1
certo,preciso,1
grazia,preciso,1
perduto,preciso,1
preciso,vedere,1
diverso,preciso,1
incomunicabile,preciso,1
preciso,uguale,1
preciso,voce,1
faccia,preciso,1
luogo,preciso,1
estraneo,preciso,1
preciso,vano,1
migliore,preciso,1
peggiore,preciso,1
preciso,rapporto,1
altro,preciso,1
metropoli,provinciale,2
certo,metropoli,1
grazia,metropoli,1
metropoli,perduto,1
metropoli,vedere,1
diverso,metropoli,1
incomunicabile,metropoli,1
metropoli,uguale,1
metropoli,voce,1
faccia,metropoli,1
luogo,metropoli,1
estraneo,metropoli,1
metropoli,vano,1
metropoli,migliore,1
metropoli,peggiore,1
metropoli,rapporto,1
altro,metropoli,1
certo,provinciale,1
grazia,provinciale,1
perduto,provinciale,1
provinciale,vedere,1
diverso,provinciale,1
incomunicabile,provinciale,1
provinciale,uguale,1
provinciale,voce,1
faccia,provinciale,1
luogo,provinciale,1
estraneo,provinciale,1
provinciale,vano,1
migliore,provinciale,1
peggiore,provinciale,1
provinciale,rapporto,1
altro,provinciale,1
certo,grazia,1
certo,perduto,1
certo,vedere,1
certo,diverso,1
certo,incomunicabile,1
certo,uguale,1
certo,voce,1
certo,faccia,1
certo,luogo,1
certo,estraneo,1
certo,vano,1
certo,migliore,1
certo,peggiore,1
certo,rapporto,1
altro,certo,1
grazia,perduto,1
grazia,vedere,1
diverso,grazia,1
grazia,incomunicabile,1
grazia,uguale,1
grazia,voce,1
faccia,grazia,1
grazia,luogo,1
estraneo,grazia,1
grazia,vano,1
grazia,migliore,1
grazia,peggiore,1
grazia,rapporto,1
altro,grazia,1
perduto,vedere,1
diverso,perduto,1
incomunicabile,perduto,1
perduto,uguale,1
perduto,voce,1
faccia,perduto,1
luogo,perduto,1
estraneo,perduto,1
perduto,vano,1
migliore,perduto,1
peggiore,perduto,1
perduto,rapporto,1
altro,perduto,1
diverso,vedere,1
incomunicabile,vedere,1
faccia,vedere,1
luogo,vedere,1
estraneo,vedere,1
vano,vedere,1
migliore,vedere,1
peggiore,vedere,1
rapporto,vedere,1
diverso,incomunicabile,1
diverso,uguale,1
diverso,voce,1
diverso,faccia,1
diverso,luogo,1
diverso,estraneo,1
diverso,vano,1
diverso,migliore,1
diverso,peggiore,1
diverso,rapporto,1
altro,diverso,1
incomunicabile,uguale,1
