Source,Target,Weight
sepolto,tutto,1
alto,sepolto,1
invisibile,paesaggio,1
paesaggio,visibile,1
paesaggio,sole,1
calcareo,paesaggio,1
paesaggio,secondo,1
paesaggio,profondità,1
nero,paesaggio,1
paesaggio,vena,1
paesaggio,sotterrraneo,1
fuori,paesaggio,1
castello,paesaggio,1
paesaggio,traliccio,1
cima,paesaggio,1
arco,paesaggio,1
acquedotto,paesaggio,1
colonna,paesaggio,1
aereo,paesaggio,1
paesaggio,tutto,1
alto,paesaggio,1
invisibile,visibile,1
invisibile,sole,1
calcareo,invisibile,1
invisibile,secondo,1
invisibile,profondità,1
invisibile,nero,1
invisibile,vena,1
invisibile,sotterrraneo,1
fuori,invisibile,1
castello,invisibile,1
invisibile,traliccio,1
cima,invisibile,1
arco,invisibile,1
acquedotto,invisibile,1
colonna,invisibile,1
aereo,invisibile,1
invisibile,tutto,1
alto,invisibile,1
sole,visibile,1
calcareo,visibile,1
secondo,visibile,1
profondità,visibile,1
nero,visibile,1
vena,visibile,1
sotterrraneo,visibile,1
fuori,visibile,1
castello,visibile,1
traliccio,visibile,1
cima,visibile,1
arco,visibile,1
acquedotto,visibile,1
colonna,visibile,1
aereo,visibile,1
tutto,visibile,1
alto,visibile,1
calcareo,sole,1
secondo,sole,1
profondità,sole,1
nero,sole,1
sole,vena,2
sole,sotterrraneo,1
fuori,sole,1
castello,sole,1
sole,traliccio,1
cima,sole,1
arco,sole,1
acquedotto,sole,1
colonna,sole,1
aereo,sole,1
sole,tutto,1
alto,sole,2
calcareo,secondo,1
calcareo,profondità,1
calcareo,nero,1
calcareo,vena,1
calcareo,sotterrraneo,1
calcareo,fuori,1
calcareo,castello,1
calcareo,traliccio,1
calcareo,cima,1
arco,calcareo,1
acquedotto,calcareo,1
calcareo,colonna,1
aereo,calcareo,1
calcareo,tutto,1
alto,calcareo,1
profondità,secondo,1
nero,secondo,1
secondo,vena,1
secondo,sotterrraneo,1
fuori,secondo,1
castello,secondo,1
secondo,traliccio,1
cima,secondo,1
arco,secondo,1
acquedotto,secondo,1
colonna,secondo,1
aereo,secondo,1
secondo,tutto,1
alto,secondo,1
nero,profondità,1
profondità,vena,1
profondità,sotterrraneo,1
fuori,profondità,1
castello,profondità,1
profondità,traliccio,1
cima,profondità,1
arco,profondità,1
acquedotto,profondità,1
colonna,profondità,1
aereo,profondità,1
profondità,tutto,1
alto,profondità,1
nero,vena,1
nero,sotterrraneo,1
fuori,nero,1
castello,nero,1
nero,traliccio,1
cima,nero,1
arco,nero,1
acquedotto,nero,1
colonna,nero,1
aereo,nero,1
nero,tutto,1
alto,nero,1
sotterrraneo,vena,1
fuori,vena,1
castello,vena,1
traliccio,vena,1
cima,vena,1
arco,vena,1
acquedotto,vena,1
colonna,vena,1
aereo,vena,1
tutto,vena,1
alto,vena,2
fuori,sotterrraneo,1
castello,sotterrraneo,1
sotterrraneo,traliccio,1
cima,sotterrraneo,1
arco,sotterrraneo,1
acquedotto,sotterrraneo,1
colonna,sotterrraneo,1
aereo,sotterrraneo,1
sotterrraneo,tutto,1
alto,sotterrraneo,1
castello,fuori,1
fuori,traliccio,1
cima,fuori,1
arco,fuori,1
acquedotto,fuori,1
colonna,fuori,1
aereo,fuori,1
fuori,tutto,1
alto,fuori,1
castello,traliccio,1
castello,cima,1
arco,castello,1
acquedotto,castello,1
castello,colonna,1
aereo,castello,1
castello,tutto,1
alto,castello,1
cima,traliccio,1
arco,traliccio,1
acquedotto,traliccio,1
colonna,traliccio,1
aereo,traliccio,1
traliccio,tutto,1
alto,traliccio,1
arco,cima,1
