Source,Target,Weight
terra,usuale,1
distinto,usuale,1
immagine,vero,1
solido,vero,1
compatto,vero,1
sparso,vero,1
posto,vero,3
persona,vero,1
sbiadito,vero,1
ora,vero,1
scorcio,vero,1
strada,vero,1
aprirtiso,vero,1
davanti,vero,1
inconfondibile,vero,1
magnifico,vero,1
terra,vero,1
distinto,vero,1
immagine,solido,1
compatto,immagine,1
immagine,sparso,1
immagine,posto,1
immagine,persona,1
immagine,sbiadito,1
immagine,ora,1
immagine,scorcio,1
immagine,strada,1
aprirtiso,immagine,1
davanti,immagine,1
immagine,inconfondibile,1
immagine,magnifico,1
immagine,terra,1
distinto,immagine,1
compatto,solido,1
solido,sparso,1
posto,solido,1
persona,solido,1
sbiadito,solido,1
ora,solido,1
scorcio,solido,1
solido,strada,1
aprirtiso,solido,1
davanti,solido,1
inconfondibile,solido,1
magnifico,solido,1
solido,terra,1
distinto,solido,1
compatto,sparso,1
compatto,posto,2
compatto,persona,1
compatto,sbiadito,1
compatto,ora,2
compatto,scorcio,1
compatto,strada,1
aprirtiso,compatto,1
compatto,davanti,1
compatto,inconfondibile,1
compatto,magnifico,1
compatto,terra,1
compatto,distinto,1
posto,sparso,1
persona,sparso,1
sbiadito,sparso,1
ora,sparso,1
scorcio,sparso,1
sparso,strada,1
aprirtiso,sparso,1
davanti,sparso,1
inconfondibile,sparso,1
magnifico,sparso,1
sparso,terra,1
distinto,sparso,1
persona,posto,1
posto,sbiadito,1
ora,posto,2
posto,scorcio,1
posto,strada,1
aprirtiso,posto,1
davanti,posto,1
inconfondibile,posto,2
magnifico,posto,1
posto,terra,1
distinto,posto,1
persona,sbiadito,1
ora,persona,1
persona,scorcio,1
persona,strada,1
aprirtiso,persona,1
davanti,persona,1
inconfondibile,persona,1
magnifico,persona,1
persona,terra,1
distinto,persona,1
ora,sbiadito,1
sbiadito,scorcio,1
sbiadito,strada,1
aprirtiso,sbiadito,1
davanti,sbiadito,1
inconfondibile,sbiadito,1
magnifico,sbiadito,1
sbiadito,terra,1
distinto,sbiadito,1
ora,scorcio,1
ora,strada,2
aprirtiso,ora,1
davanti,ora,1
inconfondibile,ora,1
magnifico,ora,1
ora,terra,1
distinto,ora,1
scorcio,strada,1
